workflow,subtask,primary_route,secondary_route,avoid_or_limit,why,verification,source_basis,status
Coding,architecture/debug judgment,Codex GPT frontier or Claude Code Opus/Sonnet,second model review only for high risk,cheap model final authority,High-context reasoning and agent integration matter for hard code changes,Targeted tests/build/smoke,OpenAI/Anthropic docs and Observed routing data,hypothesis
QA testing,test-plan design,Claude or GPT frontier,Gemini for multimodal app/video evidence,Perplexity,Premium reasoning catches risk surfaces and behavioral flows,Execute tests and screenshot/browser verification,Rendered UI verification principle,hypothesis
QA testing,browser/device visual inspection,Playwright plus GPT/Gemini vision,Claude if screenshots/docs,manual text summary only,Screenshots and deterministic checks reduce hallucinated UI claims,Store screenshots and pixel/DOM checks,Tooling plus model docs,actionable
Finance/accounting,source-backed accounting research,Perplexity plus official accounting sources,GPT/Claude synthesis,uncited chat answer,High-stakes/current guidance needs source verification,Use authoritative accounting/tax/legal sources; do not treat as professional advice,General high-stakes policy,actionable
Finance/accounting,spreadsheet/account analysis,Python/spreadsheet tools plus GPT/Claude,Gemini long context,LLM mental math,Deterministic computation first; model explains findings,Reconcile formulas/totals with code or spreadsheet,Local tooling principle,actionable
Creative writing,voice/story draft,Claude Opus/Sonnet or GPT frontier,Gemini,Perplexity,GPT/Claude are better prose/structure tools than retrieval engines,Human taste review and revision pass,Anthropic/OpenAI docs,hypothesis
Product planning,strategy and roadmap synthesis,Claude or GPT frontier,Gemini long-context support,cheap local model final,"Requires judgment, prioritization, constraints, and narrative",Check assumptions and map decisions vs hypotheses,Product planning workflow evidence,hypothesis
Brainstorm,divergent ideation,GPT/Claude/Grok mix,Gemini,one expensive model repeatedly,Use one premium pass then one contrast pass; Grok can provide alternate cultural angle,Select ideas against constraints not novelty alone,xAI/OpenAI/Anthropic docs,hypothesis
Marketing/distribution,market/source scan,Perplexity,Grok for social pulse,frontier model without web,Current examples and competitors need retrieval,Verify source dates/platform rules,Perplexity/xAI docs,hypothesis
Marketing/distribution,campaign strategy and copy,Claude or GPT frontier,Gemini,Perplexity final,Creative judgment and channel strategy need synthesis after research,Score against audience/offer/channel,Anthropic/OpenAI docs,hypothesis
Agent/model orchestration,planning router,Codex using the PhaseRelay skill,Claude Code with same rules,manual model picking every time,System should decompose operations and assign models before execution,Check plan names model/tool per operation,This project,actionable
Long document synthesis,very large corpus compression,Gemini long context,Claude long context,GPT/Opus repeatedly rereading chunks,Gemini is a strong candidate for huge multimodal/long context bundles,Spot-check source citations and summaries,Gemini long context docs,hypothesis
Private/batch memory work,transcript tagging/extraction,local Whisper plus Llama/Qwen/Mistral,GPT/Claude only for final synthesis,frontier model on every raw segment,Cheap/local processing saves limits and preserves privacy,Retain full artifacts and sample extracted records,Local transcription workflows plus open-model docs,hypothesis
Project orchestration,intake and scope,Codex GPT frontier or Claude,deterministic project templates,starting implementation before constraints and success criteria are explicit,High-judgment framing prevents expensive downstream rework,Record objective constraints definition of done and risk areas,Project routing protocol,actionable
Project delivery,documentation and handoff,GPT or Claude with verified artifacts,deterministic templates and release tooling,rewriting or re-researching the project during packaging,Delivery should summarize verified state provenance and open risks from existing artifacts,Check links commands changed files and unresolved risks,Project routing protocol,actionable
Agent/model orchestration,routing telemetry and scoring,PhaseRelay CLI plus deterministic telemetry,GPT or Claude for retrospective synthesis,changing defaults from launch hype or one ordinary result,Append-only outcomes and token records make routing improve without erasing evidence,Validate JSONL and CSV then require promotion thresholds,Scoring and token tracking protocol,actionable
